model,pair_id,group,desc,s1,s2,similarity_raw,similarity_percent
nusabert-base,A1,in_domain_strong,"Judul batik kawung, metode sama",Pengenalan pola batik kawung menggunakan metode ellipse hough transform.,Pengenalan motif batik kawung dengan pendekatan ellipse hough transform.,0.9270409941673279,92.7
nusabert-base,A2,in_domain_strong,YOLOv5 deteksi ekspresi wajah,Penelitian ini menggunakan YOLOv5 untuk mendeteksi ekspresi wajah secara real time.,YOLOv5 digunakan dalam penelitian ini untuk deteksi ekspresi wajah secara waktu nyata.,0.9386072158813477,93.9
nusabert-base,A3,in_domain_strong,Sistem informasi akademik,"Sistem informasi akademik ini dirancang untuk mengelola data mahasiswa, dosen, dan mata kuliah.","Aplikasi informasi akademik dibangun untuk pengelolaan data mahasiswa, staf pengajar, serta mata kuliah.",0.8857488632202148,88.6
nusabert-base,B1,in_domain_medium,"Klasifikasi batik vs daun (CNN sama, objek beda)",Penelitian ini berfokus pada klasifikasi gambar motif batik menggunakan CNN.,Penelitian ini berfokus pada klasifikasi citra daun menggunakan jaringan syaraf konvolusional.,0.49855226278305054,49.9
nusabert-base,B2,in_domain_medium,Rekomendasi buku vs film,Sistem ini memberikan rekomendasi buku berdasarkan riwayat peminjaman pengguna.,Aplikasi ini menyarankan film berdasarkan rating yang diberikan pengguna sebelumnya.,0.41321349143981934,41.3
nusabert-base,C1,negation,Menggunakan vs TIDAK menggunakan YOLO,Penelitian ini menggunakan YOLOv5 sebagai metode utama deteksi objek.,Penelitian ini tidak menggunakan YOLOv5 sebagai metode utama deteksi objek.,0.7633843421936035,76.3
nusabert-base,C2,negation,Tujuan sistem vs TIDAK bertujuan,Sistem ini bertujuan meningkatkan efisiensi proses pengolahan data transaksi.,Sistem ini tidak bertujuan meningkatkan efisiensi proses pengolahan data transaksi.,0.29449671506881714,29.4
nusabert-base,D1,out_of_domain,Kalimat sehari-hari vs kalimat skripsi,Hari ini saya pergi ke pasar untuk membeli sayur dan buah.,Penelitian ini mengembangkan sistem deteksi kemiripan proposal tugas akhir.,-0.040491290390491486,0.0
nusabert-base,D2,out_of_domain,Hobi vs CNN,Aku suka mendengarkan musik sambil bermain game di akhir pekan.,Model CNN dilatih menggunakan dataset citra berukuran 224 kali 224 piksel.,-0.08360128104686737,0.0
nusabert-base,E1,identical,Kalimat sama persis,Dataset yang terbatas menjadi tantangan tersendiri dalam membangun model ini.,Dataset yang terbatas menjadi tantangan tersendiri dalam membangun model ini.,1.000000238418579,100.0
nusabert-base,E2,paraphrase_close,"Kalimat hampir sama, parafrase ringan",Dataset yang terbatas menjadi tantangan tersendiri dalam membangun model ini.,Keterbatasan dataset menjadi tantangan utama dalam membangun model ini.,0.9382907152175903,93.8
sbert-nusabert-base,A1,in_domain_strong,"Judul batik kawung, metode sama",Pengenalan pola batik kawung menggunakan metode ellipse hough transform.,Pengenalan motif batik kawung dengan pendekatan ellipse hough transform.,0.980751097202301,98.1
sbert-nusabert-base,A2,in_domain_strong,YOLOv5 deteksi ekspresi wajah,Penelitian ini menggunakan YOLOv5 untuk mendeteksi ekspresi wajah secara real time.,YOLOv5 digunakan dalam penelitian ini untuk deteksi ekspresi wajah secara waktu nyata.,0.9779343605041504,97.8
sbert-nusabert-base,A3,in_domain_strong,Sistem informasi akademik,"Sistem informasi akademik ini dirancang untuk mengelola data mahasiswa, dosen, dan mata kuliah.","Aplikasi informasi akademik dibangun untuk pengelolaan data mahasiswa, staf pengajar, serta mata kuliah.",0.9770811796188354,97.7
sbert-nusabert-base,B1,in_domain_medium,"Klasifikasi batik vs daun (CNN sama, objek beda)",Penelitian ini berfokus pada klasifikasi gambar motif batik menggunakan CNN.,Penelitian ini berfokus pada klasifikasi citra daun menggunakan jaringan syaraf konvolusional.,0.6640400290489197,66.4
sbert-nusabert-base,B2,in_domain_medium,Rekomendasi buku vs film,Sistem ini memberikan rekomendasi buku berdasarkan riwayat peminjaman pengguna.,Aplikasi ini menyarankan film berdasarkan rating yang diberikan pengguna sebelumnya.,0.5395928621292114,54.0
sbert-nusabert-base,C1,negation,Menggunakan vs TIDAK menggunakan YOLO,Penelitian ini menggunakan YOLOv5 sebagai metode utama deteksi objek.,Penelitian ini tidak menggunakan YOLOv5 sebagai metode utama deteksi objek.,0.9086124300956726,90.9
sbert-nusabert-base,C2,negation,Tujuan sistem vs TIDAK bertujuan,Sistem ini bertujuan meningkatkan efisiensi proses pengolahan data transaksi.,Sistem ini tidak bertujuan meningkatkan efisiensi proses pengolahan data transaksi.,0.5815937519073486,58.2
sbert-nusabert-base,D1,out_of_domain,Kalimat sehari-hari vs kalimat skripsi,Hari ini saya pergi ke pasar untuk membeli sayur dan buah.,Penelitian ini mengembangkan sistem deteksi kemiripan proposal tugas akhir.,-0.0797625258564949,0.0
sbert-nusabert-base,D2,out_of_domain,Hobi vs CNN,Aku suka mendengarkan musik sambil bermain game di akhir pekan.,Model CNN dilatih menggunakan dataset citra berukuran 224 kali 224 piksel.,-0.05792945250868797,0.0
sbert-nusabert-base,E1,identical,Kalimat sama persis,Dataset yang terbatas menjadi tantangan tersendiri dalam membangun model ini.,Dataset yang terbatas menjadi tantangan tersendiri dalam membangun model ini.,1.0,100.0
sbert-nusabert-base,E2,paraphrase_close,"Kalimat hampir sama, parafrase ringan",Dataset yang terbatas menjadi tantangan tersendiri dalam membangun model ini.,Keterbatasan dataset menjadi tantangan utama dalam membangun model ini.,0.9660276770591736,96.6
