proposal_id,id_dosen_1,id_dosen_2
26,50,10
52,13,8
51,15,5
63,13,8
98,50,41
102,17,39
139,2,15
140,18,7
147,18,7
148,16,18
149,18,50
151,20,1
153,16,15
154,8,17
156,8,17
155,1,15
158,13,17
145,50,44
159,15,20
162,15,5
163,16,8
165,18,20
166,19,50
167,19,10
168,17,5
172,19,13
173,6,50
178,10,17
179,13,8
180,16,20
185,1,10
186,13,8
188,13,5
189,7,50
191,7,18
192,19,10
195,8,14
190,39,5
182,10,6
197,8,13
199,13,8
200,13,14
201,8,14
202,7,50
204,7,5
207,19,10
209,19,14
211,16,50
194,15,8
212,6,50
215,6,20
216,1,10
175,10,19
219,5,15
221,14,19
222,16,5
223,6,5
224,5,50
230,2,6
231,16,14
232,7,6
233,50,44
234,16,39
236,20,5
238,13,44
241,5,7
242,19,7
235,7,17
244,8,13
246,13,17
248,15,50
249,7,50
250,18,39
251,7,18
252,20,5
254,5,16
255,50,39
256,16,18
257,19,50
259,16,20
260,19,10
261,16,6
262,2,18
263,1,10
264,19,10
265,39,1
266,18,2
267,19,44
268,50,17
269,8,39
270,44,39
271,5,7
272,19,10
273,2,14
276,2,1
277,41,34
279,16,15
286,16,6
307,19,17
332,16,5
348,18,16
350,5,13
352,39,2
353,50,15
354,50,42
355,39,8
357,16,1
359,19,10
360,5,15
356,13,17
361,16,20
362,17,39
363,18,13
351,18,20
366,18,7
358,20,18
367,18,20
369,18,42
372,17,13
374,16,18
368,7,6
365,7,6
370,15,1
371,2,14
364,50,39
375,14,16
376,19,8
377,10,17
378,19,2
381,16,2
382,10,13
384,19,8
385,19,15
386,19,42
387,19,1
393,13,10
399,39,1
400,50,7
401,6,39
410,7,18
412,17,44
416,17,20
417,7,50
446,6,50
493,20,18
422,17,50
474,15,42
437,15,17
512,15,42
566,16,5
567,20,1
568,39,2
570,19,50
572,6,42
574,8,13
576,18,2
577,8,15
578,16,5
579,7,42
580,7,16
581,1,15
583,8,42
584,7,18
585,8,17
587,19,39
588,16,1
589,7,42
591,39,50
594,20,14
597,7,20
599,1,15
618,8,50
621,6,53
622,8,14
624,13,19
627,1,10
590,15,50
629,18,17
632,17,2
634,13,19
635,8,13
636,17,2
637,1,15
639,6,50
640,18,50
641,16,42
644,20,53
646,20,50
648,7,18
651,10,19
652,20,42
